Date,Order_ID,Product,SKU,Category,Region,City,Salesperson,Channel,Quantity,Unit_Price,Discount_Rate,Revenue,Unit_Cost,Profit
2025-10-29,RS-00001,Laptop Pro 14,LAP-140,Computers,Bekaa,Zahle,David,Store,3,950,0.1,2565.0,650,615.0
2025-10-23,RS-00002,Mechanical Keyboard,KEY-022,Accessories,North,Tripoli,Alice,Store,41,55,0,2255,25,1230
2025-10-07,RS-00003,4K Monitor,MON-040,Displays,Mount Lebanon,Byblos,David,Store,3,380,0.1,1026.0,240,306.0
2025-11-10,RS-00004,Wireless Mouse,MOU-014,Accessories,North,Batroun,Elie,Store,50,28,0.15,1190.0,11,640.0
2025-12-26,RS-00005,Laptop Pro 14,LAP-140,Computers,Mount Lebanon,Byblos,Bob,Store,3,950,0,2850,650,900
2026-01-26,RS-00006,4K Monitor,MON-040,Displays,Mount Lebanon,Byblos,Bob,Online,6,380,0.1,2052.0,240,612.0
2026-01-01,RS-00007,4K Monitor,MON-040,Displays,Beirut,Beirut,Alice,Online,8,380,0.1,2736.0,240,816.0
2025-10-26,RS-00008,27-inch Monitor,MON-027,Displays,South,Tyre,Maya,Store,5,220,0,1100,135,425
2025-12-08,RS-00009,Wireless Mouse,MOU-014,Accessories,Beirut,Beirut,Carla,Online,59,28,0,1652,11,1003
2025-11-26,RS-00010,Wireless Mouse,MOU-014,Accessories,North,Tripoli,David,Online,49,28,0.1,1234.8,11,695.8
2026-01-11,RS-00011,Gaming Laptop X,LAP-220,Computers,South,Saida,Maya,Store,1,1250,0.05,1187.5,850,337.5
2025-11-06,RS-00012,Gaming Laptop X,LAP-220,Computers,South,Saida,Elie,Online,4,1250,0,5000,850,1600
2026-01-11,RS-00013,27-inch Monitor,MON-027,Displays,Mount Lebanon,Jounieh,Rami,Store,17,220,0.05,3553.0,135,1258.0
2026-01-17,RS-00014,Mechanical Keyboard,KEY-022,Accessories,Mount Lebanon,Byblos,Nour,Online,29,55,0,1595,25,870
2025-12-04,RS-00015,USB Cable,USB-001,Accessories,North,Tripoli,Bob,Online,39,14,0.05,518.7,4,362.7
2025-10-29,RS-00016,Gaming Laptop X,LAP-220,Computers,Mount Lebanon,Jounieh,Rami,Store,3,1250,0.05,3562.5,850,1012.5
2025-12-07,RS-00017,USB Cable,USB-001,Accessories,Mount Lebanon,Jounieh,Bob,Online,42,14,0.05,558.6,4,390.6
2025-11-09,RS-00018,27-inch Monitor,MON-027,Displays,Mount Lebanon,Jounieh,Alice,Online,32,220,0.05,6688.0,135,2368.0
2025-10-29,RS-00019,Tablet Air,TAB-080,Tablets,Bekaa,Zahle,David,Store,7,420,0,2940,280,980
2026-02-02,RS-00020,Webcam HD,CAM-018,Accessories,Mount Lebanon,Jounieh,Carla,Online,38,65,0.15,2099.5,32,883.5
