Date,Order_ID,Product,SKU,Region,Salesperson,Quantity,Unit_Price,Revenue,Customer_ID,Channel,Notes
2026-05-07,D-00001,USB Cable,USB-1,,,6,12,72,CUST-1077,B2B,
2026-02-21,D-00002,Monitor,MON-1,,,23,180,4140,CUST-1111,,
2026-03-15,D-00003,Keyboard,KEY-1,SOUTH,Bob,33,45,1485,CUST-1213,Store,
2026-05-10,D-00004,Headset,HDS-1,WEST,,20,95,1900,CUST-1076,B2B,
2026-03-12,D-00005,Keyboard,KEY-1,north,,12,45,540,CUST-1269,,
2026-04-13,D-00006,Mouse,MOU-1,SOUTH,BOB,ten,25,900,CUST-1283,,mixed quantity type
2026-04-09,D-00007,Mouse,MOU-1,east,,33,25,825,CUST-1242,online,
2026-03-21,D-00008,Monitor,MON-1,south,David,3,180,540,CUST-1256,online,
2026-02-11,D-00009,headset,HDS-1,South,,9,,855,CUST-1284,B2B,mixed price type
2026-04-19,D-00010,Mouse,MOU-1,NORTH,alice,7,25,175,CUST-1017,online,
2026-03-10,D-00011,Headset,HDS-1,west,alice,6,95,570,CUST-1007,online,
2026-02-11,D-00012,Keyboard,KEY-1,East,Carla,19,45,855,CUST-1180,,
2026-04-01,D-00013,Keyboard,KEY-1,West,,18,45,810,CUST-1049,Online,
2026-04-29,D-00014,Keyboard,KEY-1,West,,15,45,675,CUST-1084,STORE,
2026-03-28,D-00015,USB Cable,USB-1,,Carla,ten,12,360,CUST-1115,B2B,mixed quantity type
2026-03-11,D-00016,USB Cable,USB-1,SOUTH,,39,12,468,CUST-1035,,
2026-04-09,D-00017,USB Cable,USB-1,North,Bob,33,12,,CUST-1059,B2B,missing revenue
2026-04-15,D-00018,USB Cable,USB-1,South,Bob,10,12,120,CUST-1251,B2B,
2026-04-16,D-00019,Laptop,LAP-1,West,David,14,850,11900,CUST-1135,STORE,
2026-02-06,D-00020,monitor,MON-1,south,BOB,1,180,180,CUST-1202,STORE,
2026-04-01,D-00021,Keyboard,KEY-1,east,Alice,30,45,1350,CUST-1113,online,
